Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
29	9.668558	4.858381	28.875004	-7.090259	10.0	54.723877	8.53491	80.03147	32.088688	750000	-0.006121941	18.284414	-0.011205243	-6.074499	3.1670663	2.6578703	0.56588	99.0	47940.90315771103
30	10.203753	4.792796	24.388971	-6.88745	10.0	56.127377	8.361218	79.47868	35.315933	775000	-0.021225346	18.750256	-0.023476964	-5.9435577	2.546892	2.3366172	0.57112	99.0	49538.124831438065
31	10.331048	4.868366	31.048311	-5.6831675	10.0	58.513218	8.883855	86.01626	35.42087	800000	-0.032391354	19.88475	-0.020524513	-6.803645	2.8461912	2.57219	0.57684	99.0	51122.06378674507
32	10.430826	4.964061	31.718485	-10.39403	10.0	58.81583	9.990861	86.59435	36.92829	825000	0.040391136	20.187834	-0.026080798	-7.6886435	2.884104	2.578793	0.58284	99.0	52713.35115027428
33	10.211309	5.2772574	29.284456	-7.388288	10.0	59.00366	10.696558	86.31733	36.08948	850000	-0.016139297	20.151512	-0.03996162	-6.65969	3.0630374	2.1888077	0.53824	99.0	54303.142889499664
34	10.022925	4.8555794	30.898443	-4.8435035	10.0	60.760685	10.317735	88.69788	35.622086	875000	-0.011176738	18.923845	-0.06084693	-6.158867	2.4570014	2.6072528	0.58428	99.0	55888.320385694504
35	9.208472	5.1519384	27.53726	-10.036995	10.0	62.657665	8.664545	91.98629	42.485165	900000	-0.03564919	19.024828	-0.031702127	-6.7940626	2.8071718	2.384687	0.58288	99.0	57470.66339635849
36	10.7993765	4.821611	27.46992	-4.0822067	10.0	65.51524	9.490665	91.57364	43.13611	925000	-0.033776265	20.725159	-0.039700974	-7.5357237	2.4619293	2.1280148	0.58256	99.0	59051.32973074913
37	10.058969	5.062977	28.421194	-6.551863	10.0	66.930695	8.938911	94.00238	43.628742	950000	-0.042391337	18.419521	-0.032289803	-6.190159	2.5296144	2.1829617	0.58192	99.0	60638.91819310188
38	9.644664	5.2710657	30.746876	-6.60152	10.0	67.65125	8.959214	99.283516	41.55297	975000	-0.035250608	20.13302	-0.028832566	-7.953333	2.5983489	2.258069	0.58236	99.0	62210.16609144211
39	11.125672	4.825035	29.109673	-4.6406636	10.0	67.33941	10.721195	99.347786	45.984146	1000000	-0.017554283	19.616877	-0.05349107	-7.7905188	2.3151534	2.3564074	0.58436	99.0	63789.60096406937
40	9.692826	4.7179213	24.20913	-8.010079	10.0	67.42507	10.189298	100.23596	44.584187	1025000	-0.04320667	17.152039	-0.022547409	-6.3793907	2.679743	2.2045681	0.56592	99.0	65384.16138505936
41	9.2429285	5.0032735	30.25622	-9.756817	10.0	67.09754	10.286484	100.225945	40.91418	1050000	-0.048493065	18.351582	-0.024498343	-6.5756264	2.5275664	2.1057622	0.5654	99.0	66961.11761641502
42	10.304931	4.6997337	26.981327	-6.9015174	10.0	68.53791	10.9452505	100.653145	44.630093	1075000	0.0125479	19.109058	-0.07827485	-7.3309555	2.3671062	2.5543025	0.57936	99.0	68544.80835008621
43	10.204023	4.724956	31.426414	-6.9427767	10.0	69.80343	11.477731	102.59954	48.60512	1100000	-0.052904777	18.009382	-0.01924242	-6.0894995	2.530169	2.3473303	0.52332	99.0	70122.97789287567
44	10.618154	5.1235785	30.330664	-4.9759727	10.0	70.88262	11.402815	105.57041	48.892532	1125000	-0.029568838	20.592728	-0.03509271	-7.8663673	2.46808	2.077954	0.51844	99.0	71707.35033512115
45	10.567731	5.1257434	26.464792	-6.6429276	10.0	73.55628	10.071421	107.721245	49.93156	1150000	0.024125742	18.38223	-0.08982761	-6.4227085	2.2561524	2.2323592	0.52796	99.0	73285.08653712273
