Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	0.50432	0.49998137	1.0	0.0	1.0	0.48969015	0.8624308	2.0095608	-0.026391359	675000	-0.021648569	1.988125e-05	-0.002134854	-2.0961816e-06	2.3315277	0.039850555	0.14716	0.0	7221.82981133461
27	0.50112	0.49999875	1.0	0.0	1.0	0.48461434	0.8593793	2.0129242	-0.02329604	700000	-0.024137007	1.8487734e-05	-0.0018508937	-2.0451098e-06	2.3288057	0.04090303	0.14604	0.0	7489.506042003632
28	0.50404	0.49998367	1.0	0.0	1.0	0.491336	0.8630368	2.0104468	-0.024320913	725000	-0.023566201	1.7294708e-05	-0.0020295586	-1.8561859e-06	2.3301742	0.03887839	0.14996	0.0	7734.152264595032
29	0.48648	0.4998172	1.0	0.0	1.0	0.4740931	0.8524942	2.0099497	-0.024031222	750000	-0.025256366	1.6551461e-05	-0.0019142125	-1.8012879e-06	2.3298411	0.038446795	0.14852	0.0	7977.98023557663
30	0.50372	0.49998617	1.0	0.0	1.0	0.49126366	0.8628826	2.0128062	-0.02347351	775000	-0.026067128	1.5358253e-05	-0.0020932965	-1.6434824e-06	2.3255165	0.03510903	0.14656	0.0	8236.561706781387
31	0.49516	0.4999766	1.0	0.0	1.0	0.4826502	0.8582761	2.007679	-0.023339996	800000	-0.029688315	1.4834808e-05	-0.0022621285	-1.6133617e-06	2.3242018	0.03471015	0.15036	0.0	8485.344351053238
32	0.50056	0.49999967	1.0	0.0	1.0	0.48890594	0.8612679	2.0093422	-0.022255622	825000	-0.030763848	1.3956697e-05	-0.002658112	-1.5276601e-06	2.320026	0.030626137	0.15036	0.0	8750.787472486496
33	0.50612	0.4999625	1.0	0.0	1.0	0.49493566	0.8640686	2.0070775	-0.02106858	850000	-0.03428496	1.31667075e-05	-0.0027708337	-1.4517364e-06	2.3161576	0.028348496	0.1526	0.0	9016.663495063782
34	0.50264	0.49999297	1.0	0.0	1.0	0.49297285	0.863009	2.004733	-0.023498798	875000	-0.035316367	1.2373534e-05	-0.0028797574	-1.3454664e-06	2.312811	0.024574043	0.15516	0.0	9272.980320453644
35	0.50144	0.4999979	1.0	0.0	1.0	0.4916009	0.8624103	2.0042043	-0.019414404	900000	-0.03826787	1.1469651e-05	-0.0029998273	-1.259662e-06	2.303595	0.022041496	0.16804	0.0	9517.481672525406
36	0.50372	0.49998614	1.0	0.0	1.0	0.4954765	0.8644016	2.0043612	-0.019859932	925000	-0.039614286	1.0962141e-05	-0.0035050884	-1.2473429e-06	2.3012621	0.018153548	0.1788	0.0	9764.242135286331
37	0.50536	0.49997127	1.0	0.0	1.0	0.4941165	0.8633499	2.0043368	-0.023515753	950000	-0.04114644	1.03498205e-05	-0.0033808276	-1.1600332e-06	2.294425	0.016203323	0.18676	0.0	10007.605794429779
38	0.49772	0.4999948	1.0	0.0	1.0	0.48882896	0.8604374	2.0059214	-0.01957547	975000	-0.044414937	9.812558e-06	-0.0026582107	-1.1025877e-06	2.2866495	0.01415538	0.20444	0.0	10251.25831246376
39	0.4934	0.49995643	1.0	0.0	1.0	0.4802838	0.85543954	2.004417	-0.019886516	1000000	-0.04629349	9.140293e-06	-0.070710145	-6.226701e-07	2.2800207	0.018544983	0.63948	15.0	10496.883405923843
40	0.51584	0.49974903	1.0	0.0	1.0	0.5055125	0.86949724	2.0065846	-0.021081923	1025000	-0.09992867	9.184594e-06	-0.0057846084	-1.0731437e-06	2.2709682	0.019072514	0.61764	0.0	10759.852532625198
41	0.5	0.5	1.0	0.0	1.0	0.48709315	0.8587577	2.0059304	-0.019167125	1050000	-0.10426754	8.678479e-06	-0.005605899	-1.0010408e-06	2.281729	0.03308319	0.64232	0.0	11004.382858753204
42	0.4954	0.49997884	1.0	0.0	1.0	0.4850999	0.8579113	2.004074	-0.018490063	1075000	-0.10670167	8.256569e-06	-0.0058061406	-9.087389e-07	2.2880502	0.0369135	0.6682	0.0	11246.53681731224
