Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
29	0.501	0.49999896	1.0	0.0	1.0	1.1024922	0.0022349623	1.109375	1.1015625	30000	-0.4588495	1.0018669	-0.014971316	-0.007287562	1.0682832	0.0045636497	0.772	99.0	803.8291866779327
30	0.568	0.49535444	1.0	0.0	1.0	1.0693105	0.0023771473	1.0703125	1.0625	31000	-0.43398094	0.9748774	-0.013292372	-0.001190722	0.989537	-0.03895854	0.676	99.0	835.7139148712158
31	0.561	0.49626502	1.0	0.0	1.0	1.0868223	0.0024172957	1.09375	1.0859375	32000	-0.44722632	0.975912	-0.01271221	-0.00011175871	0.98879784	-0.021581315	0.731	99.0	860.9384808540344
32	0.617	0.48611826	1.0	0.0	1.0	1.1006563	0.0024648902	1.1015625	1.09375	33000	-0.42561892	0.95207864	-0.009665459	-0.010206401	0.9597715	-0.077390976	0.688	99.0	886.4522716999054
33	0.541	0.49831614	1.0	0.0	1.0	1.1492128	0.0023215837	1.15625	1.1484375	34000	-0.4784779	0.9885272	-0.0062874556	-0.0034953356	1.0887576	-0.014544472	0.774	99.0	911.4534661769867
34	0.586	0.49254847	1.0	0.0	1.0	1.1246562	0.0010857406	1.125	1.1210938	35000	-0.4502334	0.96184987	-0.010332197	-0.00047159195	0.99904007	-0.03201064	0.771	99.0	936.6570863723755
35	0.621	0.48513815	1.0	0.0	1.0	1.1405996	0.00022123831	1.140625	1.1386719	36000	-0.44016242	0.94108826	-0.012107432	-0.0065793395	1.0020769	-0.069936156	0.733	99.0	961.7828826904297
36	0.578	0.4938785	1.0	0.0	1.0	1.1804726	0.0023145939	1.1875	1.1796875	37000	-0.43461594	0.96648556	-0.016993672	-0.0010160804	1.0792568	-0.035801604	0.733	99.0	987.600860118866
37	0.564	0.49588704	1.0	0.0	1.0	1.1713653	0.0012879953	1.171875	1.1679688	38000	-0.4698497	0.97533315	-0.014702529	0.00020706654	1.0989002	-0.07353302	0.819	99.0	1013.5225620269775
38	0.523	0.49947074	1.0	0.0	1.0	1.1477139	0.0022256025	1.1484375	1.140625	39000	-0.4819983	1.0001091	-0.010896355	-0.00932914	1.1151972	-0.03167649	0.809	99.0	1039.1151752471924
